?no?"?site?"?datetime?"?title?"?url?"?description?
12"? detik.com?"?Apr 19, 2016 18:02?"?Tak Percaya Ikan Nelayan dari Teluk Jakarta Ahok Itu Ikan Dari Belitung Kok?"?http://gnews.id//keyword/article/42/politik??url=http://m.detik.com/news/berita/3191758/tak-percaya-ikan-nelayan-dari-teluk-jakarta-ahok-itu-ikan-dari-belitung-kok?"?Tak Percaya Ikan Nelayan dari Teluk Jakarta Ahok Itu Ikan Dari Belitung KokLima orang nelayan membawa ikan-ikan untuk Ahok sebagai bukti masih ada ikan di Teluk ?
13"? fajar.co.id?"?Apr 19, 2016 17:42?"?Kata Pengamat Hanya Orang Ini yang Mampu Kalahkan Ahok  FAJARcoid?"?http://gnews.id//keyword/article/42/politik??url=http://fajar.co.id/2016/04/19/kata-pengamat-hanya-orang-ini-yang-mampu-kalahkan-ahok/?"?Kata Pengamat Hanya Orang Ini yang Mampu Kalahkan Ahok  FAJARcoidFAJARCOID JAKARTA Pengamat politik dari Center for Strategic and International Studies CSIS J Kristiadi menilai tingkat popularitas Basuki Tjahja sangat tinggi Sehingga cukup sulit menemukan  ?
14"? intelijen.co.id?"?Apr 19, 2016 17:19?"?Tokoh Tionghoa ini Tantang Jokowi Tegas pada Ahok Mengapa?"?http://gnews.id//keyword/article/42/politik??url=https://www.intelijen.co.id/tokoh-tionghoa-ini-tantang-jokowi-tegas-pada-ahok-mengapa/?"?Tokoh Tionghoa ini Tantang Jokowi Tegas pada Ahok MengapaTokoh Tionghoa ini Tantang Jokowi Tegas pada Ahok Mengapa Tokoh Tionghoa ini Tantang Jokowi Tegas pada Ahok Mengapa Joko Widodo dan Basuki Tjahaja Purnama viva intelijen  Presiden Joko Widodo ?
15"? nahimunkar.com?"?Apr 19, 2016 16:56?"?Stop Penggusuran Warga Miskin Jakarta Bukan Hanya untuk Orang Kaya Saja?"?http://gnews.id//keyword/article/42/politik??url=https://www.nahimunkar.com/stop-penggusuran-warga-miskin-jakarta-bukan-orang-kaya-saja/?"?Stop Penggusuran Warga Miskin Jakarta Bukan Hanya untuk Orang Kaya SajaStop Penggusuran Warga Miskin Jakarta Bukan Hanya untuk Orang Kaya Saja Wanita Muslimah penduduk korban penggusuran di Jakarta tampak sedih merana tanpa daya foto Dok Okezone Dalam tiga tahun ?
16"? kompas.com?"?Apr 19, 2016 16:28?"?Kata Fadli Zon Duit yang Diterima Sanusi Bukan untuk Mahar Jadi Cagub DKI?"?http://gnews.id//keyword/article/42/politik??url=http://nasional.kompas.com/read/2016/04/19/16151991/Kata.Fadli.Zon.Duit.yang.Diterima.Sanusi.Bukan.untuk.Mahar.Jadi.Cagub.DKI?"?Kata Fadli Zon Duit yang Diterima Sanusi Bukan untuk Mahar Jadi Cagub DKIWakil Ketua Umum Partai Gerindra Fadli Zon mengaku tak mengerti kenapa Ketua Komisi D DPRD DKI Jakarta M Sanusi mau menerima suap yang diakui untuk dana menjadi calon Gubernur ?
17"? kompas.com?"?Apr 19, 2016 16:10?"?PDI-P Risma Figur Alternatif kalau Dibutuhkan Akan Ditugaskan Maju Pilgub DKI?"?http://gnews.id//keyword/article/42/politik??url=http://nasional.kompas.com/read/2016/04/19/15585061/PDI-P.Risma.Figur.Alternatif.Kalau.Dibutuhkan.Akan.Ditugaskan.Maju.Pilgub.DKI?"?PDI-P Risma Figur Alternatif kalau Dibutuhkan Akan Ditugaskan Maju Pilgub DKIPDI Perjuangan tak menutup kemungkinan akan mendorong Wali Kota Surabaya Tri Rismaharini untuk maju dalam Pemilu Gubernur DKI Jakarta ?
18"? citizenjurnalism.com?"?Apr 19, 2016 15:59?"?Habib Rizieq Serahkan Bantuan Rp100 Juta untuk Warga Luar Batang?"?http://gnews.id//keyword/article/42/politik??url=http://www.citizenjurnalism.com/2016/04/19/habib-rizieq-serahkan-bantuan-rp100-juta-untuk-warga-luar-batang/?"?Habib Rizieq Serahkan Bantuan Rp100 Juta untuk Warga Luar BatangJakarta  Warga Luar Batang Penjaringan Jakarta Utara sudah ratusan tahun secara turun temurun tinggal di sekitar Masjid Keramat Luar Batang Mereka ?
19"? intelijen.co.id?"?Apr 19, 2016 15:06?"?Antisipasi Kerusuhan Etnis Tertentu Pilih Tinggal di Pinggir Teluk Jakarta?"?http://gnews.id//keyword/article/42/politik??url=https://www.intelijen.co.id/antisipasi-kerusuhan-etnis-tertentu-pilih-tinggal-di-pinggir-teluk-jakarta/?"?Antisipasi Kerusuhan Etnis Tertentu Pilih Tinggal di Pinggir Teluk JakartaAntisipasi Kerusuhan Etnis Tertentu Pilih Tinggal di Pinggir Teluk Jakarta Antisipasi Kerusuhan Etnis Tertentu Pilih Tinggal di Pinggir Teluk Jakarta Reklamasi Teluk Jakarta ist intelijen  ?
20"? kompas.com?"?Apr 19, 2016 14:38?"?Fadli Zon Dorong Dibentuk Pansus Sumber Waras?"?http://gnews.id//keyword/article/42/politik??url=http://nasional.kompas.com/read/2016/04/19/14304781/Fadli.Zon.Dorong.Dibentuk.Pansus.Sumber.Waras?"?Fadli Zon Dorong Dibentuk Pansus Sumber WarasWakil Ketua DPR Fadli Zon mendorong dibentuk Pansus untuk menyelidiki kasus pembelian lahan Rumah Sakit Sumber Waras oleh pemerintah provinsi DKI ?
21"? kaskus.co.id?"?Apr 19, 2016 14:04?"?BPK Patut Diduga Dapat Data dari Sumber Tak Kompeten?"?http://gnews.id//keyword/article/42/politik??url=http://m.kaskus.co.id/thread/5715d6c89e74045f168b4567/bpk-patut-diduga-dapat-data-dari-sumber-tak-kompeten?"?BPK Patut Diduga Dapat Data dari Sumber Tak KompetenBPK Patut Diduga Dapat Data dari Sumber Tak Kompeten Selasa 19 April 2016  1043 Jakarta - Badan Pemeriksa Keuangan BPK patut diduga menggunakan data dari sumber lain yang tidak kompeten dalam ?
